observed_at_utc,asset_id,release,asset,github_download_count
"2026-09-16T16:36:16.671Z","567388763","v0.1.0","apisip-0.1.0.zip","1"
"2026-09-16T16:36:16.671Z","567431254","v0.1.1","apisip-0.1.1.zip","9"
"2026-09-16T16:52:13.980Z","567388763","v0.1.0","apisip-0.1.0.zip","1"
"2026-09-16T16:52:13.980Z","567431254","v0.1.1","apisip-0.1.1.zip","9"
"2026-09-17T04:58:50.453Z","567388763","v0.1.0","apisip-0.1.0.zip","1"
"2026-09-17T04:58:50.453Z","567431254","v0.1.1","apisip-0.1.1.zip","11"
"2026-09-18T04:50:51.046Z","567388763","v0.1.0","apisip-0.1.0.zip","1"
"2026-09-18T04:50:51.046Z","567431254","v0.1.1","apisip-0.1.1.zip","16"
"2026-09-18T04:50:51.046Z","569634956","v0.1.2","apisip-0.1.2.zip","5"
"2026-09-18T04:50:51.046Z","569992570","v0.1.3","apisip-0.1.3.zip","2"
"2026-09-18T04:50:51.046Z","570007131","v0.1.4","apisip-0.1.4.zip","1"
"2026-09-18T04:50:51.046Z","570047680","v0.1.5","apisip-0.1.5.zip","2"
"2026-09-18T04:50:51.046Z","570175210","v0.1.6","apisip-0.1.6.zip","1"
"2026-09-18T04:50:51.046Z","570358892","v0.2.0","apisip-0.2.0.zip","2"
